order_id,date,region,product,category,units,unit_price,customer_segment,sales_rep
1001,2024-01-15,North,Alpha Pro,Software,12,299.99,Enterprise,Alice Chen
1002,2024-01-16,South,Alpha Pro,Software,5,299.99,SMB,Bob Smith
1003,2024-01-17,East,Beta Suite,Software,20,149.99,Enterprise,Carol Jones
1004,2024-01-18,West,Gamma Cloud,Cloud,8,499.99,Enterprise,David Lee
1005,2024-01-19,North,Alpha Pro,Software,15,299.99,SMB,Alice Chen
1006,2024-01-20,South,Delta Analytics,Analytics,3,899.99,Enterprise,Bob Smith
1007,2024-01-21,East,Beta Suite,Software,25,149.99,SMB,Carol Jones
1008,2024-01-22,West,Gamma Cloud,Cloud,12,499.99,SMB,David Lee
1009,2024-01-23,North,Epsilon AI,AI,6,1299.99,Enterprise,Alice Chen
1010,2024-01-24,South,Alpha Pro,Software,8,299.99,Enterprise,Bob Smith
1011,2024-01-25,East,Gamma Cloud,Cloud,15,499.99,SMB,Carol Jones
1012,2024-01-26,West,Beta Suite,Software,30,149.99,SMB,David Lee
1013,2024-01-27,North,Delta Analytics,Analytics,4,899.99,Enterprise,Alice Chen
1014,2024-01-28,South,Epsilon AI,AI,2,1299.99,SMB,Bob Smith
1015,2024-01-29,East,Alpha Pro,Software,18,299.99,Enterprise,Carol Jones
1016,2024-01-30,West,Delta Analytics,Analytics,7,899.99,SMB,David Lee
1017,2024-02-01,North,Beta Suite,Software,22,149.99,SMB,Alice Chen
1018,2024-02-02,South,Gamma Cloud,Cloud,10,499.99,Enterprise,Bob Smith
1019,2024-02-03,East,Epsilon AI,AI,5,1299.99,Enterprise,Carol Jones
1020,2024-02-04,West,Alpha Pro,Software,14,299.99,SMB,David Lee
1021,2024-02-05,North,Delta Analytics,Analytics,6,899.99,SMB,Alice Chen
1022,2024-02-06,South,Beta Suite,Software,28,149.99,SMB,Bob Smith
1023,2024-02-07,East,Gamma Cloud,Cloud,9,499.99,Enterprise,Carol Jones
1024,2024-02-08,West,Epsilon AI,AI,3,1299.99,Enterprise,David Lee
1025,2024-02-09,North,Alpha Pro,Software,20,299.99,Enterprise,Alice Chen
1026,2024-02-10,South,Gamma Cloud,Cloud,11,499.99,SMB,Bob Smith
1027,2024-02-11,East,Delta Analytics,Analytics,5,899.99,SMB,Carol Jones
1028,2024-02-12,West,Beta Suite,Software,35,149.99,SMB,David Lee
1029,2024-02-13,North,Epsilon AI,AI,8,1299.99,Enterprise,Alice Chen
1030,2024-02-14,South,Alpha Pro,Software,16,299.99,Enterprise,Bob Smith
1031,2024-02-15,East,Gamma Cloud,Cloud,14,499.99,SMB,Carol Jones
1032,2024-02-16,West,Delta Analytics,Analytics,9,899.99,Enterprise,David Lee
1033,2024-02-17,North,Beta Suite,Software,19,149.99,SMB,Alice Chen
1034,2024-02-18,South,Epsilon AI,AI,4,1299.99,SMB,Bob Smith
1035,2024-02-19,East,Alpha Pro,Software,25,299.99,Enterprise,Carol Jones
1036,2024-02-20,West,Gamma Cloud,Cloud,7,499.99,SMB,David Lee
1037,2024-02-21,North,Delta Analytics,Analytics,8,899.99,Enterprise,Alice Chen
1038,2024-02-22,South,Beta Suite,Software,32,149.99,SMB,Bob Smith
1039,2024-02-23,East,Epsilon AI,AI,6,1299.99,Enterprise,Carol Jones
1040,2024-02-24,West,Alpha Pro,Software,13,299.99,SMB,David Lee
1041,2024-03-01,North,Gamma Cloud,Cloud,18,499.99,Enterprise,Alice Chen
1042,2024-03-02,South,Delta Analytics,Analytics,10,899.99,SMB,Bob Smith
1043,2024-03-03,East,Beta Suite,Software,27,149.99,SMB,Carol Jones
1044,2024-03-04,West,Epsilon AI,AI,7,1299.99,Enterprise,David Lee
1045,2024-03-05,North,Alpha Pro,Software,22,299.99,SMB,Alice Chen
1046,2024-03-06,South,Gamma Cloud,Cloud,13,499.99,Enterprise,Bob Smith
1047,2024-03-07,East,Delta Analytics,Analytics,11,899.99,SMB,Carol Jones
1048,2024-03-08,West,Beta Suite,Software,29,149.99,SMB,David Lee
1049,2024-03-09,North,Epsilon AI,AI,9,1299.99,Enterprise,Alice Chen
1050,2024-03-10,South,Alpha Pro,Software,17,299.99,Enterprise,Bob Smith